title,author,published_date,published_date_precision,link,clean_url,excerpt,summary,rights,rank,topic,country,language,authors,media,is_opinion,twitter_account,_score,_id
Ο σημαντικότερος αντίκτυπος,Δήμητρα-Μαρίλια Φούρλα,2021-11-10 15:32:22,full,https://www.dimokratiki.gr/10-11-2021/o-simantikoteros-antiktypos/,dimokratiki.gr,Ο σημαντικότερος αντίκτυπος,"Στις επιπτώσεις που θα έχει η κλιματική αλλαγή στους ασθενείς και στις επείγουσες ανθρωπιστικές ιατρικές δράσεις εστίαζαν οι Γιατροί Χωρίς Σύνορα, την ώρα που εξελισσόταν  η 26η διάσκεψη των Ηνωμένων Εθνών για την κλιματική αλλαγή (COP26) στην Γλασκώβη. Ο σημαντικότερος αντίκτυπος της κλιματικής αλλαγής εκδηλώνεται με τη μορφή του υποσιτισμού στα παιδιά. Εάν η κλιματική αλλαγή συνεχιστεί όπως προβλέπεται, οι Γιατροί Χωρίς Σύνορα προειδοποιούν ότι η μειωμένη παραγωγή τροφίμων και η μειωμένη διατροφική ποιότητα ορισμένων καλλιεργειών δημητριακών μπορεί να προμηνύουν την αύξηση πιθανού υποσιτισμού, με τα βρέφη να πλήττονται συχνά περισσότερο.",dimokratiki.gr,136899,news,GR,el,['Δήμητρα-Μαρίλια Φούρλα'],https://www.dimokratiki.gr/wp-content/uploads/2021/11/83-8.jpg,False,@dimokratikinews,36.102814,6a914c6fab4988352cd2369ca266ec18
Δένδιας: Πρόκληση για την παγκόσμια κοινότητα η κλιματική αλλαγή,,2021-11-13 09:31:00,full,https://www.newsbeast.gr/politiki/arthro/8004826/dendias-proklisi-gia-tin-pagkosmia-koinotita-i-klimatiki-allagi,newsbeast.gr,"Η κλιματική αλλαγή είναι μία μεγάλη πρόκληση για την παγκόσμια κοινότητα, αναφέρει ο υπουργός Εξωτερικών Νίκος Δένδιας σε ανάρτησή του στο twitter, το οποίο συνοδεύει με φωτογραφίες από το CBS News,…","Η κλιματική αλλαγή είναι μία μεγάλη πρόκληση για την παγκόσμια κοινότητα, αναφέρει ο υπουργός Εξωτερικών Νίκος Δένδιας σε ανάρτησή του στο twitter, το οποίο συνοδεύει με φωτογραφίες από το CBS News, που δείχνουν εικόνες από τις επιπτώσεις της κλιματικής αλλαγής.
«Εικόνες που δείχνουν ότι η κλιματική αλλαγή είναι μία μεγάλη πρόκληση για την παγκόσμια κοινότητα», αναφέρει. «Η ώρα των αποφάσεων είναι τώρα, με ενίσχυση της διεθνούς συνεργασίας και ένα νέο μοντέλο ανάπτυξης».


Εικόνες που δείχνουν ότι η κλιματική αλλαγή είναι μία μεγάλη πρόκληση για την παγκόσμια κοινότητα.",newsbeast.gr,35555,politics,GR,el,[],https://www.newsbeast.gr/image/s1200x630/file/files/1/2021/07/dendias-4.jpg,False,@newsbeast,30.800924,590835df383f926424835d7cba7bcb8b
Ο Δένδιας μιλά για την κλιματική αλλαγή μέσα από φωτογραφίες: Μεγάλη πρόκληση για την παγκόσμια κοινότητα [εικόνες],NEWSROOM IEFIMERIDA.GR 13/11/2021 12:36,2021-11-13 10:36:24,full,https://www.iefimerida.gr/politiki/dendias-mila-gia-tin-klimatiki-allagi,iefimerida.gr,"Η κλιματική αλλαγή είναι μία μεγάλη πρόκληση για την παγκόσμια κοινότητα, αναφέρει ο υπουργός Εξωτερικών Νίκος Δένδιας. | ΠΟΛΙΤΙΚΗ | Νίκος Δένδιας, κλιματική αλλαγή, ΥΠΕΞ | iefimerida.gr","Μία από τις εικόνες του cbsnews.com / SAMRAT35/DREAMSTIME 
 
Η κλιματική αλλαγή είναι μία μεγάλη πρόκληση για την παγκόσμια κοινότητα, αναφέρει ο υπουργός Εξωτερικών Νίκος Δένδιας. Σε ανάρτησή του στο twitter, την οποία συνοδεύει με φωτογραφίες από το CBS News, που δείχνουν εικόνες από τις επιπτώσεις της κλιματικής αλλαγής. Εικόνες που δείχνουν ότι η κλιματική αλλαγή είναι μία μεγάλη πρόκληση για την παγκόσμια κοινότητα, αναφέρει ο Νίκος Δένδιας. Η ώρα των αποφάσεων είναι τώρα, με ενίσχυση της διεθνούς συνεργασίας και ένα νέο μοντέλο ανάπτυξης.",iefimerida.gr,26696,news,GR,el,['NEWSROOM IEFIMERIDA.GR'],https://www.iefimerida.gr/sites/default/files/styles/facebook/public/2021-11/erimos-nero-kopela.jpg?itok=jxWTKXst,False,@iefimerida,30.640442,23998665941d608bdf81261cff6111c1
Ν. Δένδιας: Η κλιματική αλλαγή μεγάλη πρόκληση για την παγκόσμια κοινότητα,,2021-11-13 10:55:29,full,https://www.athina984.gr/2021/11/13/n-dendias-i-klimatiki-allagi-megali-proklisi-gia-tin-pagkosmia-koinotita/,athina984.gr,"Η κλιματική αλλαγή είναι μία μεγάλη πρόκληση για την παγκόσμια κοινότητα, αναφέρει ο υπουργός Εξωτερικών Νίκος Δένδιας σε ανάρτησή του στο twitter,","Η κλιματική αλλαγή είναι μία μεγάλη πρόκληση για την παγκόσμια κοινότητα, αναφέρει ο υπουργός Εξωτερικών Νίκος Δένδιας σε ανάρτησή του στο twitter, το οποίο συνοδεύει με φωτογραφίες από το CBS News, που δείχνουν εικόνες από τις επιπτώσεις της κλιματικής αλλαγής.'Εικόνες που δείχνουν ότι η κλιματική αλλαγή είναι μία μεγάλη πρόκληση για την παγκόσμια κοινότητα', αναφέρει. 'Η ώρα των αποφάσεων είναι τώρα, με ενίσχυση της διεθνούς συνεργασίας και ένα νέο μοντέλο ανάπτυξης'.Εικόνες που δείχνουν ότι η κλιματική αλλαγή είναι μία μεγάλη πρόκληση για την παγκόσμια κοινότητα.",athina984.gr,119304,news,GR,el,[],https://www.athina984.gr/wp-content/uploads/2021/04/5283767.jpg,False,,30.395023,636785528a4f8f3f898998bdca17c13d
Δένδιας: Η κλιματική αλλαγή μεγάλη πρόκληση για την παγκόσμια κοινότητα,,2021-11-13 12:06:08,full,https://www.liberal.gr/news/dendias-i-klimatiki-allagi-megali-proklisi-gia-tin-pagkosmia-koinotita/413997,liberal.gr,"Η κλιματική αλλαγή είναι μία μεγάλη πρόκληση για την παγκόσμια κοινότητα, αναφέρει ο υπουργός Εξωτερικών Νίκος Δένδιας σε ανάρτησή του στο twitter, το οποίο συνοδεύει με φωτογραφίες από το CBS News,…","Eurokinissi 

Η κλιματική αλλαγή είναι μία μεγάλη πρόκληση για την παγκόσμια κοινότητα, αναφέρει ο υπουργός Εξωτερικών Νίκος Δένδιας σε ανάρτησή του στο twitter, το οποίο συνοδεύει με φωτογραφίες από το CBS News, που δείχνουν εικόνες από τις επιπτώσεις της κλιματικής αλλαγής.
""Εικόνες που δείχνουν ότι η κλιματική αλλαγή είναι μία μεγάλη πρόκληση για την παγκόσμια κοινότητα"", αναφέρει. ""Η ώρα των αποφάσεων είναι τώρα, με ενίσχυση της διεθνούς συνεργασίας και ένα νέο μοντέλο ανάπτυξης"". 
Εικόνες που δείχνουν ότι η κλιματική αλλαγή είναι μία μεγάλη πρόκληση για την παγκόσμια κοινότητα.",liberal.gr,77621,news,GR,el,[],https://www.liberal.gr/photos/dendias_1_1.jpg,False,@LiberalGr,30.354313,a09e8a5250f93fdeb147992cb964abb9
Ν. Δένδιας: Η κλιματική αλλαγή μεγάλη πρόκληση για την παγκόσμια κοινότητα,Capital.gr,2021-11-13 10:44:00,full,https://www.capital.gr/story/3594823,capital.gr,"""Η ώρα των αποφάσεων είναι τώρα, με ενίσχυση της διεθνούς συνεργασίας και ένα νέο μοντέλο ανάπτυξης"", δήλωσε ο ΥΠΕΞ.","Η κλιματική αλλαγή είναι μία μεγάλη πρόκληση για την παγκόσμια κοινότητα, αναφέρει ο υπουργός Εξωτερικών Νίκος Δένδιας σε ανάρτησή του στο twitter, το οποίο συνοδεύει με φωτογραφίες από το CBS News, που δείχνουν εικόνες από τις επιπτώσεις της κλιματικής αλλαγής.

""Εικόνες που δείχνουν ότι η κλιματική αλλαγή είναι μία μεγάλη πρόκληση για την παγκόσμια κοινότητα"", αναφέρει. ""Η ώρα των αποφάσεων είναι τώρα, με ενίσχυση της διεθνούς συνεργασίας και ένα νέο μοντέλο ανάπτυξης"".

Πηγή: ΑΠΕ-ΜΠΕ",capital.gr,21133,business,GR,el,['Capital.gr'],https://www.capital.gr/Content/ImagesDatabase/fb/1000x523/crop/both/68/681ca7b192b84cc5b1c0f2a429a5173c.jpg,False,@capitalgr,30.167446,43ce694db6b785adfbd602b45f5cd50f
Δένδιας: Η κλιματική αλλαγή μεγάλη πρόκληση για την παγκόσμια κοινότητα,Real.gr,2021-11-13 11:58:00,full,https://www.real.gr/politiki/arthro/dendias_h_klimatiki_allagi_megali_proklisi_gia_tin_pagkosmia_koinotita-785259/,real.gr,H ανάρτηση του ΥΠΕΞ με εικόνες από τις επιπτώσεις της κλιματικής αλλαγής.,"H ανάρτηση του ΥΠΕΞ με εικόνες από τις επιπτώσεις της κλιματικής αλλαγής.
Η κλιματική αλλαγή είναι μία μεγάλη πρόκληση για την παγκόσμια κοινότητα, αναφέρει ο υπουργός Εξωτερικών Νίκος Δένδιας σε ανάρτησή του στο twitter, την οποία συνοδεύει με φωτογραφίες από το CBS News, που δείχνουν εικόνες από τις επιπτώσεις της κλιματικής αλλαγής.""Εικόνες που δείχνουν ότι η κλιματική αλλαγή είναι μία μεγάλη πρόκληση για την παγκόσμια κοινότητα"", αναφέρει. ""Η ώρα των αποφάσεων είναι τώρα, με ενίσχυση της διεθνούς συνεργασίας και ένα νέο μοντέλο ανάπτυξης"".",real.gr,74100,news,GR,el,['Real.gr'],https://media.real.gr/filesystem/images/20211024/engine/3252212_252863_281870_type12140.jpg,False,Real.gr,30.126894,118c2b904baff6bdf723c2632fa96303
Ν. Δένδιας: Η κλιματική αλλαγή μεγάλη πρόκληση για την παγκόσμια κοινότητα,,2021-11-13 15:10:10,full,https://www.zougla.gr/politiki/article/n-dendias-i-klimatiki-alagi-megali-proklisi-gia-tin-pagosmia-kinotita,zougla.gr,"Η κλιματική αλλαγή είναι μία μεγάλη πρόκληση για την παγκόσμια κοινότητα, αναφέρει ο υπουργός Εξωτερικών Νίκος Δένδιας σε ανάρτησή του στο Twitter...","Η κλιματική αλλαγή είναι μία μεγάλη πρόκληση για την παγκόσμια κοινότητα, αναφέρει ο υπουργός Εξωτερικών Νίκος Δένδιας σε ανάρτησή του στο Twitter, το οποίο συνοδεύει με φωτογραφίες από το CBS News, που δείχνουν εικόνες από τις επιπτώσεις της κλιματικής αλλαγής.

«Εικόνες που δείχνουν ότι η κλιματική αλλαγή είναι μία μεγάλη πρόκληση για την παγκόσμια κοινότητα», αναφέρει. «Η ώρα των αποφάσεων είναι τώρα, με ενίσχυση της διεθνούς συνεργασίας και ένα νέο μοντέλο ανάπτυξης».",zougla.gr,37615,news,GR,el,[],https://www.zougla.gr/assets/images/3140696.jpg,False,zougla_online,30.11705,10500f148476627ba64a2ebc54e8a8fa
Δένδιας: Η κλιματική αλλαγή μεγάλη πρόκληση για την παγκόσμια κοινότητα,,2021-11-13 10:24:00,full,https://newpost.gr/politiki/618f92b7a90671501ab81965/dendias-i-klimatiki-allagi-megali-proklisi-gia-tin-pagkosmia-koinotita,newpost.gr,Ανάρτησή του στο twitter,"Facebook Twitter Whatsapp Η κλιματική αλλαγή είναι μία μεγάλη πρόκληση για την παγκόσμια κοινότητα, αναφέρει ο υπουργός Εξωτερικών Νίκος Δένδιας σε ανάρτησή του στο twitter, το οποίο συνοδεύει με φωτογραφίες από το CBS News, που δείχνουν εικόνες από τις επιπτώσεις της κλιματικής αλλαγής.
""Εικόνες που δείχνουν ότι η κλιματική αλλαγή είναι μία μεγάλη πρόκληση για την παγκόσμια κοινότητα"", αναφέρει. ""Η ώρα των αποφάσεων είναι τώρα, με ενίσχυση της διεθνούς συνεργασίας και ένα νέο μοντέλο ανάπτυξης"".",newpost.gr,85676,news,GR,el,[],https://newpost.gr/watermark/202110/hlaqh51634188895315.jpg,False,@newpost.gr,29.93401,f2cb59bdc2455d6c8bade1f27599515f
Δένδιας : Η κλιματική αλλαγή είναι μια πρόκληση για την παγκόσμια κοινότητα,,2021-11-13 10:35:00,full,https://www.neakriti.gr/article/ellada-nea/1636225/dendias-i-klimatiki-allagi-einai-mia-proklisi-gia-tin-pagosmia-koinotita/,neakriti.gr,"«Η ώρα των αποφάσεων είναι τώρα, με ενίσχυση της διεθνούς συνεργασίας και ένα νέο μοντέλο ανάπτυξης» αναφέρε ο υπουργός Εξωτερικών Νίκος Δένδιας","Ελλάδα «Η ώρα των αποφάσεων είναι τώρα, με ενίσχυση της διεθνούς συνεργασίας και ένα νέο μοντέλο ανάπτυξης» αναφέρε ο υπουργός Εξωτερικών Νίκος Δένδιας Η κλιματική αλλαγή είναι μία μεγάλη πρόκληση για την παγκόσμια κοινότητα, αναφέρει ο υπουργός Εξωτερικών Νίκος Δένδιας σε ανάρτησή του στο twitter, το οποίο συνοδεύει με φωτογραφίες από το CBS News, που δείχνουν εικόνες από τις επιπτώσεις της κλιματικής αλλαγής.""Εικόνες που δείχνουν ότι η κλιματική αλλαγή είναι μία μεγάλη πρόκληση για την παγκόσμια κοινότητα"", αναφέρει.",neakriti.gr,109560,news,GR,el,[],https://s1.neakriti.gr/images/600x315_FacebookShare/files/2020-11-24/dendias.jpg,False,https://twitter.com/neakritigr,29.875732,171ecc2e735dbf6ea13a354b00771da2
